Date,Price,Open,High,Low,Vol.,Change %
10/24/2025,"1,683.18","1,687.06","1,691.69","1,660.32",916.27M,-0.23%
10/23/2025,"1,687.06","1,678.50","1,698.01","1,668.57",699.30M,0.51%
10/22/2025,"1,678.50","1,663.43","1,697.58","1,628.37",910.68M,0.91%
10/21/2025,"1,663.43","1,636.43","1,677.11","1,609.70",1.53B,1.65%
10/20/2025,"1,636.43","1,731.19","1,731.19","1,635.08",1.64B,-5.47%
10/17/2025,"1,731.19","1,766.85","1,777.35","1,725.12",1.22B,-2.02%
10/16/2025,"1,766.85","1,757.95","1,768.45","1,753.50",1.09B,0.51%
10/15/2025,"1,757.95","1,761.06","1,778.49","1,747.51",1.11B,-0.18%
10/14/2025,"1,761.06","1,765.12","1,794.58","1,753.25",1.49B,-0.23%
10/13/2025,"1,765.12","1,747.55","1,766.77","1,704.63",1.23B,1.01%
10/10/2025,"1,747.55","1,716.47","1,747.57","1,716.47",998.29M,1.81%
10/09/2025,"1,716.47","1,697.83","1,717.65","1,697.83",1.04B,1.10%
10/08/2025,"1,697.83","1,685.30","1,735.29","1,680.87",1.02B,0.74%
10/07/2025,"1,685.30","1,695.50","1,713.15","1,675.40",799.01M,-0.60%
10/06/2025,"1,695.50","1,645.82","1,695.50","1,643.23",1.01B,3.02%
10/03/2025,"1,645.82","1,652.71","1,656.58","1,637.95",814.58M,-0.42%
10/02/2025,"1,652.71","1,665.05","1,679.73","1,646.77",735.86M,-0.74%
10/01/2025,"1,665.05","1,661.70","1,671.07","1,655.85",666.00M,0.20%
09/30/2025,"1,661.70","1,666.48","1,676.80","1,645.97",1.05B,-0.29%
09/29/2025,"1,666.48","1,660.70","1,674.84","1,639.20",808.66M,0.35%
09/26/2025,"1,660.70","1,666.09","1,671.43","1,652.65",899.32M,-0.32%
09/25/2025,"1,666.09","1,657.46","1,668.21","1,654.47",914.94M,0.52%
09/24/2025,"1,657.46","1,635.26","1,657.48","1,619.09",942.29M,1.36%
09/23/2025,"1,635.26","1,634.45","1,643.59","1,624.08",657.14M,0.05%
09/22/2025,"1,634.45","1,658.62","1,666.43","1,616.02",1.14B,-1.46%
09/19/2025,"1,658.62","1,665.18","1,671.94","1,638.44",863.96M,-0.39%
09/18/2025,"1,665.18","1,670.97","1,679.63","1,645.58",863.67M,-0.35%
09/17/2025,"1,670.97","1,680.90","1,684.62","1,662.63",967.05M,-0.59%
09/16/2025,"1,680.90","1,684.90","1,697.26","1,675.87",1.23B,-0.24%
09/15/2025,"1,684.90","1,667.26","1,684.90","1,665.61",1.12B,1.06%
09/12/2025,"1,667.26","1,657.75","1,675.38","1,653.79",1.01B,0.57%
09/11/2025,"1,657.75","1,643.26","1,659.19","1,605.76",1.20B,0.88%
09/10/2025,"1,643.26","1,637.32","1,652.68","1,629.29",833.10M,0.36%
09/09/2025,"1,637.32","1,624.53","1,637.32","1,613.01",1.01B,0.79%
09/08/2025,"1,624.53","1,666.97","1,667.36","1,623.32",1.77B,-2.55%
09/05/2025,"1,666.97","1,696.29","1,711.49","1,665.45",1.65B,-1.73%
09/04/2025,"1,696.29","1,681.30","1,696.29","1,675.95",1.29B,0.89%
09/03/2025,"1,681.30","1,682.21","1,692.69","1,670.39",1.24B,-0.05%
08/29/2025,"1,682.21","1,680.86","1,694.42","1,677.82",1.46B,0.08%
08/28/2025,"1,680.86","1,672.78","1,684.16","1,659.68",1.10B,0.48%
08/27/2025,"1,672.78","1,667.63","1,696.60","1,667.23",1.48B,0.31%
08/26/2025,"1,667.63","1,614.03","1,667.96","1,601.65",1.23B,3.32%
08/25/2025,"1,614.03","1,645.47","1,661.47","1,608.53",1.45B,-1.91%
08/22/2025,"1,645.47","1,688.00","1,691.71","1,629.49",2.23B,-2.52%
08/21/2025,"1,688.00","1,664.36","1,693.68","1,664.36",1.64B,1.42%
08/20/2025,"1,664.36","1,654.20","1,672.70","1,614.60",2.28B,0.61%
08/19/2025,"1,654.20","1,636.37","1,665.48","1,636.37",1.79B,1.09%
08/18/2025,"1,636.37","1,630.00","1,642.71","1,625.61",1.51B,0.39%
08/15/2025,"1,630.00","1,640.69","1,666.54","1,615.26",2.01B,-0.65%
08/14/2025,"1,640.69","1,611.60","1,641.28","1,611.60",1.75B,1.81%
08/13/2025,"1,611.60","1,608.22","1,618.31","1,585.54",1.86B,0.21%
08/12/2025,"1,608.22","1,596.86","1,608.34","1,591.18",1.58B,0.71%
08/11/2025,"1,596.86","1,584.95","1,601.79","1,584.95",1.59B,0.75%
08/08/2025,"1,584.95","1,581.81","1,592.52","1,565.45",1.82B,0.20%
08/07/2025,"1,581.81","1,573.71","1,588.38","1,567.72",1.61B,0.51%
08/06/2025,"1,573.71","1,547.15","1,574.34","1,547.15",1.33B,1.72%
08/05/2025,"1,547.15","1,528.19","1,584.98","1,519.08",2.70B,1.24%
08/04/2025,"1,528.19","1,495.21","1,528.21","1,491.11",1.23B,2.21%
